LME_PR_AL_serie_MOM_7,LME_PR_AL_serie_close
151.5,2005.5
151.5,2051
151.5,2003
151.5,2019
151.5,2061
151.5,2137
151.5,2134
151.5,2157
58.5,2109.5
117,2120
152,2171
113,2174
43.5,2180.5
49,2183
36,2193
80.5,2190
65.5,2185.5
60.5,2231.5
67,2241
29.5,2210
74,2257
26,2219
10,2200
-27.5,2158
-56.5,2175
-69,2172
26,2236
-25,2232
-1,2218
7,2207
4.5,2162.5
-2,2173
-55.5,2116.5
-109,2127
-102.5,2129.5
-43,2175
4,2211
66,2228.5
79.5,2252.5
150,2266.5
180.5,2307.5
171.5,2301
113,2288
84,2295
24.5,2253
-50.5,2202
-94.5,2172
-133,2174.5
-131.5,2169.5
-122,2166
-108,2187
-57,2196
-7,2195
49.5,2221.5
44,2218.5
30.5,2200
26,2192
-48,2139
-65.5,2130.5
-58.5,2136.5
-89,2132.5
-81,2137.5
-93.5,2106.5
-94,2098
,
,
-58,2081
-40.5,2090
-77.5,2059
-79.5,2053
,
,
-87.5,2050
-71,2035.5
-29,2069
-35.5,2045.5
-64,2026
-19,2040
-25,2028
-34,2016
-1.5,2034
-58,2011
-16.5,2029
13.5,2039.5
0,2040
39.5,2067.5
41,2057
32,2066
53,2064
18,2047
8,2047.5
,
-14.5,2025.5
-81,1986.5
-54,2003
-74.5,1991.5
-83,1981
-68.5,1978.5
-53.5,1994
-39,1986.5
29.5,2016
0.5,2003.5
4.5,1996
-6.5,1974.5
-10.5,1968
-15,1979
-6.5,1980
-37,1979
-46.5,1957
-23,1973
-38.5,1936
,
,
-23.5,1944.5
-32.5,1946.5
-42,1938
-36,1943
-31.5,1925.5
-49.5,1923.5
-12,1924
-30.5,1914
-65,1881.5
-60,1878
-64,1879
-84,1841.5
-100.5,1823
-107.5,1816.5
-104,1810
-71.5,1810
-46,1832
-45,1834
,
,
25,1866.5
87,1910
113,1929.5
104,1914
77,1887
44,1876
55,1889
5.5,1872
-75,1835
-68.5,1861
-53,1861
1,1888
-8,1868
19.5,1908.5
22,1894
0,1835
-21.5,1839.5
-15,1846
-23,1865
-8.5,1859.5
-57.5,1851
-32,1862
,
,
,
,
,
,
30.5,1865.5
-5.5,1834
-22.5,1823.5
-52.5,1812.5
-56.5,1803
-58,1793
-52,1810
-67.5,1798
-13.5,1820.5
4.5,1828
48.5,1861
67.5,1870.5
,
89,1882
62,1872
69,1867
28,1848.5
,
